shap_row_id,source_row_index,dataset,target,fraud_probability,primary_prediction
1,981,test,nonfraud,0.202552783071531,1
2,1010,test,nonfraud,0.115342023739328,1
3,1295,test,nonfraud,0.158229546915482,1
4,1574,test,nonfraud,0.0699092178897332,1
5,1877,test,nonfraud,0.0754029249995688,1
6,2362,test,nonfraud,0.0830393520207443,1
7,2445,test,nonfraud,0.0750090333045577,1
8,2468,test,nonfraud,0.0717908776306546,1
9,2547,test,nonfraud,0.0974838978951106,1
10,2759,test,nonfraud,0.082691514846827,1
11,2895,test,nonfraud,0.185665013695294,1
12,4298,test,nonfraud,0.0865537456503312,1
13,4494,test,nonfraud,0.0714948024618376,1
14,4737,test,nonfraud,0.275471959788986,1
15,5280,test,nonfraud,0.0710380320402016,1
16,6231,test,nonfraud,0.121145468546899,1
17,6232,test,nonfraud,0.0760994274613918,1
18,6344,test,nonfraud,0.101024916923936,1
19,6636,test,nonfraud,0.0746223468568032,1
20,7917,test,nonfraud,0.0728950459513423,1
21,8276,test,nonfraud,0.0700060842097281,1
22,8888,test,nonfraud,0.0738931385012833,1
23,9962,test,nonfraud,0.0753445586884379,1
24,10466,test,nonfraud,0.123499462515533,1
25,10553,test,nonfraud,0.0745510651334695,1
26,10664,test,nonfraud,0.0795005732421005,1
27,10768,test,nonfraud,0.0697209806658147,1
28,10808,test,nonfraud,0.12588339773105,1
29,11187,test,nonfraud,0.172434002200003,1
30,11657,test,nonfraud,0.0806949293062873,1
31,11815,test,nonfraud,0.0931399712579523,1
32,12098,test,nonfraud,0.113389033144367,1
33,12302,test,nonfraud,0.0771457945138646,1
34,12360,test,nonfraud,0.138653335071363,1
35,12390,test,nonfraud,0.100182011626681,1
36,12470,test,nonfraud,0.0823342694106019,1
37,12574,test,nonfraud,0.125279403245863,1
38,12590,test,nonfraud,0.0713427616702957,1
39,12808,test,nonfraud,0.0717210100039946,1
40,13134,test,nonfraud,0.0770915304535155,1
41,13137,test,nonfraud,0.0697169909448222,1
42,13278,test,nonfraud,0.0921738533656516,1
43,13313,test,nonfraud,0.10347030489814,1
44,13486,test,fraud,0.0811131455181841,1
45,13614,test,nonfraud,0.0978651576732024,1
46,13684,test,nonfraud,0.083668106987277,1
47,13799,test,nonfraud,0.0696898347456785,1
48,13893,test,nonfraud,0.0860286082907543,1
49,14214,test,nonfraud,0.0876633121484882,1
50,14677,test,nonfraud,0.100062209416244,1
51,14746,test,nonfraud,0.075621260228604,1
52,14754,test,fraud,0.14544721306607,1
53,14916,test,nonfraud,0.0698466440965531,1
54,15113,test,nonfraud,0.0704166692409025,1
55,15544,test,nonfraud,0.0984454344673152,1
56,15641,test,nonfraud,0.0697844268364774,1
57,15651,test,nonfraud,0.122001509598206,1
58,15879,test,fraud,0.0907386385444098,1
59,15934,test,nonfraud,0.072254013392499,1
60,16177,test,nonfraud,0.082032618615519,1
61,16229,test,nonfraud,0.0920783975667547,1
62,16535,test,nonfraud,0.0692614444920067,1
63,16882,test,nonfraud,0.136251154718085,1
64,16884,test,nonfraud,0.0978494249347686,1
65,17164,test,nonfraud,0.0909622070815846,1
66,17430,test,nonfraud,0.138006458697979,1
67,17451,test,nonfraud,0.080579371027631,1
68,17743,test,nonfraud,0.0936161631853088,1
69,18063,test,nonfraud,0.106112500482056,1
70,18144,test,nonfraud,0.0787353364296633,1
71,18156,test,nonfraud,0.0708938163143882,1
72,18173,test,nonfraud,0.118041398678769,1
73,18251,test,nonfraud,0.131427447872413,1
74,18917,test,nonfraud,0.100089736764872,1
75,18946,test,nonfraud,0.0872454716899373,1
76,19073,test,nonfraud,0.0714626573110252,1
77,19369,test,nonfraud,0.0772711205528956,1
78,19453,test,nonfraud,0.0724060119009387,1
79,19529,test,nonfraud,0.101479116455554,1
80,19616,test,nonfraud,0.104231949102472,1
81,19787,test,nonfraud,0.153286977723101,1
82,20090,test,nonfraud,0.0721095771061133,1
83,20105,test,nonfraud,0.124842006528404,1
84,20399,test,nonfraud,0.0819807244996992,1
85,20569,test,nonfraud,0.108090486418837,1
86,20790,test,nonfraud,0.0834940709336882,1
87,20794,test,nonfraud,0.0833751376476793,1
88,20827,test,nonfraud,0.0728921647494313,1
89,20927,test,fraud,0.0805656205896183,1
90,21026,test,nonfraud,0.10975123514945,1
91,21036,test,nonfraud,0.0857802444937104,1
92,21091,test,nonfraud,0.0957440686140333,1
93,22108,test,nonfraud,0.091403131376792,1
94,22288,test,nonfraud,0.0854813797947898,1
95,22456,test,nonfraud,0.0890564123920866,1
96,22470,test,nonfraud,0.0860649692347915,1
97,22512,test,nonfraud,0.0854977015088534,1
98,22677,test,nonfraud,0.121683333571459,1
99,22875,test,nonfraud,0.0834299669296544,1
100,23081,test,nonfraud,0.143640362792032,1
101,23476,test,nonfraud,0.0774796117475558,1
102,23589,test,nonfraud,0.0967767578477143,1
103,23866,test,nonfraud,0.0858477118908767,1
104,24192,test,nonfraud,0.0801382378269735,1
105,24387,test,fraud,0.0816572497974761,1
106,24968,test,nonfraud,0.080932786292935,1
107,24998,test,nonfraud,0.0792126198898055,1
108,25149,test,nonfraud,0.0713218228352777,1
109,25246,test,nonfraud,0.071463279505202,1
110,25709,test,nonfraud,0.142564746091474,1
111,26271,test,nonfraud,0.071238766409138,1
112,26439,test,nonfraud,0.0950494712859669,1
113,26493,test,nonfraud,0.07446592543679,1
114,26496,test,nonfraud,0.0923237223641555,1
115,26767,test,nonfraud,0.0875378318975767,1
116,26797,test,fraud,0.0977154804981263,1
117,26870,test,nonfraud,0.118271010830798,1
118,26871,test,nonfraud,0.101527270392358,1
119,27048,test,nonfraud,0.07676283008416,1
120,27195,test,nonfraud,0.0717554146015068,1
121,27282,test,nonfraud,0.115307792706192,1
122,27501,test,nonfraud,0.0913835271204805,1
123,27536,test,nonfraud,0.084741083669151,1
124,27617,test,fraud,0.0777096560085608,1
125,27734,test,nonfraud,0.0784277773859628,1
126,27739,test,nonfraud,0.0820987506294342,1
127,27802,test,fraud,0.123035610936916,1
128,27945,test,nonfraud,0.110888373334846,1
129,27946,test,nonfraud,0.0774533923584549,1
130,28277,test,nonfraud,0.158778842243868,1
131,28556,test,nonfraud,0.09675743577545,1
132,28784,test,nonfraud,0.0862987350062691,1
133,28849,test,nonfraud,0.123962142651198,1
134,28910,test,nonfraud,0.0745877390130325,1
135,28933,test,nonfraud,0.0969000884936166,1
136,29520,test,nonfraud,0.09124349759631,1
137,29573,test,nonfraud,0.0853805087146417,1
138,29589,test,nonfraud,0.140113599525741,1
139,29930,test,nonfraud,0.0740927235040297,1
140,30152,test,nonfraud,0.141981255811979,1
141,30240,test,nonfraud,0.11835949155748,1
142,30241,test,fraud,0.0980042208643453,1
143,30251,test,nonfraud,0.0705272663585698,1
144,30259,test,nonfraud,0.070927656935536,1
145,30368,test,nonfraud,0.106601213106379,1
146,30480,test,nonfraud,0.167451209840588,1
147,30602,test,nonfraud,0.100156947636074,1
148,31284,test,nonfraud,0.0786680136698474,1
149,31507,test,nonfraud,0.0716966379082202,1
150,31577,test,nonfraud,0.0976737076555012,1
151,31612,test,nonfraud,0.113562312516006,1
152,31886,test,nonfraud,0.0926718777921961,1
153,31968,test,nonfraud,0.103114009825067,1
154,31985,test,fraud,0.0760701518417633,1
155,32091,test,nonfraud,0.0935925232395311,1
156,32097,test,nonfraud,0.0763550172812979,1
157,32525,test,nonfraud,0.0872747230719541,1
